org_name,ein,year,officer_comp,executive_director,title,source_url,notes
Impact Services Corporation,232087348,2022,0,,,,
Impact Services Corporation,232087348,2023,462664,,,,
Inglis,231352284,2011,174316,,,,
Inglis,231352284,2012,0,,,,
Inglis,231352284,2013,0,,,,
Inglis,231352284,2014,0,,,,
Inglis,231352284,2015,0,,,,
Inglis,231352284,2016,0,,,,
Inglis,231352284,2017,0,,,,
Inglis,231352284,2018,0,,,,
Inglis,231352284,2019,0,,,,
Inglis,231352284,2020,0,,,,
Inglis,231352284,2021,0,,,,
Inglis,231352284,2022,0,,,,
Inglis,231352284,2023,0,,,,
Jumpstart Tioga,833840366,2019,,,,,
Korean Community Development Services Center,232303766,2011,0,,,,
Korean Community Development Services Center,232303766,2012,0,,,,
Korean Community Development Services Center,232303766,2013,0,,,,
Korean Community Development Services Center,232303766,2014,0,,,,
Korean Community Development Services Center,232303766,2015,0,,,,
Korean Community Development Services Center,232303766,2016,30000,,,,
Korean Community Development Services Center,232303766,2017,30000,,,,
Korean Community Development Services Center,232303766,2018,30000,,,,
Korean Community Development Services Center,232303766,2019,0,,,,
Korean Community Development Services Center,232303766,2020,0,,,,
Korean Community Development Services Center,232303766,2021,0,,,,
Korean Community Development Services Center,232303766,2022,0,,,,
Korean Community Development Services Center,232303766,2023,0,,,,
Lancaster Avenue 21st Century Business Association CDC,900502551,2015,,,,,
Lancaster Avenue 21st Century Business Association CDC,900502551,2016,,,,,
Lancaster Avenue 21st Century Business Association CDC,900502551,2019,14350,,,,
Lancaster Avenue 21st Century Business Association CDC,900502551,2020,47430,,,,
Lancaster Avenue 21st Century Business Association CDC,900502551,2021,72754,,,,
Lancaster Avenue 21st Century Business Association CDC,900502551,2022,181659,,,,
Lancaster Avenue 21st Century Business Association CDC,900502551,2023,273603,,,,
Lower North Philadelphia CDC,823231994,2020,,,,,
The Maple Corporation,236432397,2011,0,,,,
The Maple Corporation,236432397,2012,0,,,,
The Maple Corporation,236432397,2013,0,,,,
The Maple Corporation,236432397,2014,0,,,,
The Maple Corporation,236432397,2015,0,,,,
The Maple Corporation,236432397,2016,0,,,,
The Maple Corporation,236432397,2017,229265,,,,
The Maple Corporation,236432397,2018,107020,,,,
The Maple Corporation,236432397,2019,152365,,,,
The Maple Corporation,236432397,2020,179225,,,,
The Maple Corporation,236432397,2021,106166,,,,
The Maple Corporation,236432397,2022,116650,,,,
The Maple Corporation,236432397,2023,117274,,,,
Mission First Housing Group,455470563,2014,,,,,
Mission First Housing Group,455470563,2015,0,,,,
Mission First Housing Group,455470563,2016,0,,,,
Mission First Housing Group,455470563,2017,0,,,,
Mission First Housing Group,455470563,2018,0,,,,
Mission First Housing Group,455470563,2019,0,,,,
Mission First Housing Group,455470563,2020,0,,,,
Mission First Housing Group,455470563,2021,0,,,,
Mission First Housing Group,455470563,2022,0,,,,
Mission First Housing Group,455470563,2023,0,,,,
Mt Airy CDC,222526396,2010,19904,,,,
Mt Airy CDC,222526396,2011,56875,,,,
Mt Airy CDC,222526396,2012,125586,,,,
Mt Airy CDC,222526396,2013,109007,,,,
Mt Airy CDC,222526396,2014,111654,,,,
Mt Airy CDC,222526396,2015,124558,,,,
Mt Airy CDC,222526396,2016,126613,,,,
Mt Airy CDC,222526396,2017,130103,,,,
Mt Airy CDC,222526396,2018,135206,,,,
Mt Airy CDC,222526396,2019,147906,,,,
Mt Airy CDC,222526396,2020,148141,,,,
Mt Airy CDC,222526396,2021,161890,,,,
Mt Airy CDC,222526396,2022,67152,,,,
Mt Airy CDC,222526396,2023,140122,,,,
Mt Vernon Manor CDC,232037301,2010,0,,,,
Mt Vernon Manor CDC,232037301,2011,0,,,,
Mt Vernon Manor CDC,232037301,2012,0,,,,
Mt Vernon Manor CDC,232037301,2013,0,,,,
Mt Vernon Manor CDC,232037301,2014,0,,,,
Mt Vernon Manor CDC,232037301,2015,38077,,,,
Mt Vernon Manor CDC,232037301,2016,60000,,,,
Mt Vernon Manor CDC,232037301,2017,61100,,,,
Mt Vernon Manor CDC,232037301,2018,61200,,,,
Mt Vernon Manor CDC,232037301,2019,76283,,,,
Mt Vernon Manor CDC,232037301,2020,70056,,,,
Mt Vernon Manor CDC,232037301,2021,69084,,,,
Mt Vernon Manor CDC,232037301,2022,68252,,,,
Mt Vernon Manor CDC,232037301,2023,0,,,,
Newbold CDC,542184458,2016,,,,,
Newbold CDC,542184458,2017,,,,,
Newbold CDC,542184458,2018,,,,,
Newbold CDC,542184458,2019,,,,,
Newbold CDC,542184458,2022,,,,,
Newbold CDC,542184458,2023,,,,,
New Kensington CDC,222610536,2011,95957,,,,
New Kensington CDC,222610536,2012,97964,,,,
New Kensington CDC,222610536,2013,101049,,,,
New Kensington CDC,222610536,2014,101565,,,,
New Kensington CDC,222610536,2015,104577,,,,
New Kensington CDC,222610536,2016,109774,,,,
New Kensington CDC,222610536,2017,262222,,,,
New Kensington CDC,222610536,2018,231086,,,,
New Kensington CDC,222610536,2019,225515,,,,
New Kensington CDC,222610536,2020,252852,,,,
New Kensington CDC,222610536,2021,205577,,,,
New Kensington CDC,222610536,2022,223154,,,,
New Kensington CDC,222610536,2023,0,,,,
Nicetown CDC,233061705,2011,99985,,,,
Nicetown CDC,233061705,2012,149063,,,,
Nicetown CDC,233061705,2013,124991,,,,
Nicetown CDC,233061705,2014,131473,,,,
Nicetown CDC,233061705,2015,124801,,,,
Nicetown CDC,233061705,2016,124999,,,,
Nicetown CDC,233061705,2017,124999,,,,
Nicetown CDC,233061705,2018,51874,,,,
Nicetown CDC,233061705,2019,81000,,,,
Nicetown CDC,233061705,2020,265932,,,,
