org_name,ein,year,pdf_url
Community Ventures,232462126,2022,https://projects.propublica.org/nonprofits/download-filing?path=download990pdf_01_2024_prefixes_22-23%2F232462126_202212_990_2024011022207963.pdf
Community Ventures,232462126,2021,https://projects.propublica.org/nonprofits/download-filing?path=IRS%2F232462126_202112_990_2023031321090423.pdf
Community Ventures,232462126,2019,https://projects.propublica.org/nonprofits/download-filing?path=download990pdf_03_2022_prefixes_22-26%2F232462126_201912_990_2022032319804585.pdf
Community Ventures,232462126,2018,https://projects.propublica.org/nonprofits/download-filing?path=10_2019_prefixes_22-23%2F232462126_201812_990_2019103016796268.pdf
Community Ventures,232462126,2017,https://projects.propublica.org/nonprofits/download-filing?path=03_2019_prefixes_22-23%2F232462126_201712_990_2019031216168923.pdf
Community Ventures,232462126,2016,https://projects.propublica.org/nonprofits/download-filing?path=IRS%2F232462126_201612_990_2017111314946844.pdf
Community Ventures,232462126,2015,https://projects.propublica.org/nonprofits/download-filing?path=2016_08_EO%2F23-2462126_990_201512.pdf
Community Ventures,232462126,2014,https://projects.propublica.org/nonprofits/download-filing?path=2015_11_EO%2F23-2462126_990_201412.pdf
Community Ventures,232462126,2013,https://projects.propublica.org/nonprofits/download-filing?path=2014_08_EO%2F23-2462126_990_201312.pdf
Community Ventures,232462126,2012,https://projects.propublica.org/nonprofits/download-filing?path=2013_09_EO%2F23-2462126_990_201212.pdf
Community Ventures,232462126,2011,https://projects.propublica.org/nonprofits/download-filing?path=2012_09_EO%2F23-2462126_990_201112.pdf
Community Ventures,232462126,2010,https://projects.propublica.org/nonprofits/download-filing?path=2012_01_EO%2F23-2462126_990_201012.pdf
Community Ventures,232462126,2009,https://projects.propublica.org/nonprofits/download-filing?path=2010_09_EO%2F23-2462126_990_200912.pdf
Community Ventures,232462126,2008,https://projects.propublica.org/nonprofits/download-filing?path=2009_10_EO%2F23-2462126_990_200812.pdf
Community Ventures,232462126,2007,https://projects.propublica.org/nonprofits/download-filing?path=2008_06_EO%2F23-2462126_990_200706.pdf
Community Ventures,232462126,2006,https://projects.propublica.org/nonprofits/download-filing?path=2007_01_EO%2F23-2462126_990_200606.pdf
Community Ventures,232462126,2005,https://projects.propublica.org/nonprofits/download-filing?path=2006_07_EO%2F23-2462126_990_200506.pdf
Community Ventures,232462126,2003,https://projects.propublica.org/nonprofits/download-filing?path=2004_11_EO%2F23-2462126_990_200312.pdf
Community Ventures,232462126,2002,https://projects.propublica.org/nonprofits/download-filing?path=2003_01_EO%2F23-2462126_990_200206.pdf
Community Ventures,232462126,2001,https://projects.propublica.org/nonprofits/download-filing?path=2002_01_EO%2F23-2462126_990_200106.pdf
East Falls Development Corporation,232805925,2022,https://projects.propublica.org/nonprofits/download-filing?path=download990pdf_01_2024_prefixes_22-23%2F232805925_202212_990_2024010322156852.pdf
East Falls Development Corporation,232805925,2021,https://projects.propublica.org/nonprofits/download-filing?path=download990pdf_03_2023_prefixes_20-25%2F232805925_202112_990_2023031321083462.pdf
East Falls Development Corporation,232805925,2020,https://projects.propublica.org/nonprofits/download-filing?path=IRS%2F232805925_202012_990_2022102520539784.pdf
East Falls Development Corporation,232805925,2019,https://projects.propublica.org/nonprofits/download-filing?path=download990pdf_10_2021_prefixes_20-26%2F232805925_201912_990_2021101819105375.pdf
East Falls Development Corporation,232805925,2018,https://projects.propublica.org/nonprofits/download-filing?path=06_2020_prefixes_20-23%2F232805925_201812_990_2020060917182844.pdf
East Falls Development Corporation,232805925,2017,https://projects.propublica.org/nonprofits/download-filing?path=02_2019_prefixes_23-23%2F232805925_201712_990_2019021516102781.pdf
East Falls Development Corporation,232805925,2016,https://projects.propublica.org/nonprofits/download-filing?path=IRS%2F232805925_201612_990_2017110914944446.pdf
East Falls Development Corporation,232805925,2015,https://projects.propublica.org/nonprofits/download-filing?path=2016_11_EO%2F23-2805925_990_201512.pdf
East Falls Development Corporation,232805925,2014,https://projects.propublica.org/nonprofits/download-filing?path=2015_12_EO%2F23-2805925_990_201412.pdf
East Falls Development Corporation,232805925,2013,https://projects.propublica.org/nonprofits/download-filing?path=2014_12_EO%2F23-2805925_990_201312.pdf
East Falls Development Corporation,232805925,2012,https://projects.propublica.org/nonprofits/download-filing?path=2013_10_EO%2F23-2805925_990_201212.pdf
East Falls Development Corporation,232805925,2011,https://projects.propublica.org/nonprofits/download-filing?path=2012_12_EO%2F23-2805925_990_201112.pdf
