org_name,type,website,contact_email,source,ein,irs_name,irs_city,match_confidence,match_score,first_year,last_year,years_filed,filing_gaps,comp_jump_years,latest_revenue,latest_employees,notes,archive_collection
Frankford United Neighbors CDC,CDC,,,Temple archives,237217565,Frankfort United Presbyterian Chruch,Hookstown,medium,0.61,,,0,,,,,"PACDC yearbook member CDC, per Temple University Special Collections Research Center PACDC records.",PACDC Records (SCRC 241)
Greater Germantown Housing Development Corporation,CDC,,,Temple archives,232024975,Greater Germantown Housing Development Corp Gghdc,Philadelphia,high,0.9,2011,2020,7,2014->2018,,-3817500,,"Active by 1976, succeeding Central Germantown Community Development Corporation; ran housing rehab and homeowner technical-assistance programs into the early 1990s. 455-page records collection at Temple's Special Collections Research Center.",Germantown Settlement Records (KER0314221)
Hunting Park Community Development Corporation,CDC,,,Temple archives,264300365,199 Hunting Park,Philadelphia,high,0.86,2011,2023,13,,,8274933,,"PACDC yearbook member CDC, per Temple University Special Collections Research Center PACDC records.",PACDC Records (SCRC 241)
Jefferson Manor Community Development Corporation,CDC,,,Temple archives,,,,none,0.3,,,0,,,,,"PACDC yearbook member CDC, per Temple University Special Collections Research Center PACDC records.",PACDC Records (SCRC 241)
Mt. Airy Village Development Corporation,CDC,,,Temple archives,260898815,Mt Airy Transit Village Inc,Philadelphia,high,0.79,2010,2024,12,2013->2015; 2019->2022,,583956,,"PACDC yearbook member CDC, per Temple University Special Collections Research Center PACDC records.",PACDC Records (SCRC 241)
People's Emergency Center CDC,CDC,,,Temple archives,,,,none,0.0,,,0,,,,,"PACDC member CDC with retail-analysis and general records, 2002-2007, per Temple University Special Collections Research Center PACDC records.",PACDC Records (SCRC 241)
Sheridan Community Development Corporation,CDC,,,Temple archives,,,,none,0.42,,,0,,,,,"PACDC yearbook member CDC, per Temple University Special Collections Research Center PACDC records.",PACDC Records (SCRC 241)
West Oak Lane CDC,CDC,,,Temple archives,232142704,West Oak Lane Community Development Corp,Philadelphia,high,1.0,2012,2023,11,2016->2018,2019; 2020; 2021,257628,,"PACDC member CDC; wrote a neighborhood commercial-corridor plan in 1995, per Temple University Special Collections Research Center PACDC records.",PACDC Records (SCRC 241)
Brewerytown CDC,CDC,,,Temple archives,473603645,Brewerytown Garden,Philadelphia,high,0.76,,,0,,,,,"PACDC member CDC, active as of 2006 per Temple University Special Collections Research Center PACDC records.",PACDC Records (SCRC 241)
Hawthorne Community Development Corporation,CDC,,,Temple archives,,,,none,0.0,,,0,,,,,"Wrote a neighborhood plan in 1995, per Temple University Special Collections Research Center PACDC records.",PACDC Records (SCRC 241)
Roxborough Development Corporation,CDC,,,Temple archives,232705347,Roxborough Development Corporation,Philadelphia,high,1.0,2011,2023,12,2014->2016,2014; 2016; 2018,793385,,"PACDC member CDC, active as of 2005 per Temple University Special Collections Research Center PACDC records.",PACDC Records (SCRC 241)
Sunrise CDC,CDC,,,Temple archives,932447863,Sunrise Aid,Mill Creek,high,0.78,,,0,,,,,"PACDC member CDC, active as of 2006 per Temple University Special Collections Research Center PACDC records.",PACDC Records (SCRC 241)
Yorktown CDC,CDC,,,Temple archives,232642355,Yorktown Community Development Corporation,Philadelphia,high,1.0,2011,2023,12,2012->2014,2012; 2014; 2015; 2016; 2017; 2018; 2019; 2020; 2021; 2022; 2023,184758,,"PACDC member CDC, active as of 2006 per Temple University Special Collections Research Center PACDC records.",PACDC Records (SCRC 241)
Tenth Memorial Non-Profit Development Corporation,CDC,,,Temple archives,222538855,Tenth Memorial Nonprofit Development Corporation,Philadelphia,high,0.98,2011,2023,13,,,1034456,,"Faith-based CDC tied to Tenth Memorial Baptist Church; PACDC correspondence lists it as a non-member org, 1993-1994.",PACDC Records (SCRC 241)
Logan Community Development Corporation,CDC,,,Temple archives,872025770,Olivet Of Logan Community Development Corporation,Philadelphia,medium,0.59,,,0,,,,,"Named in the Regional Council of Neighborhood Organizations (RCNO) records, 1986.",Regional Council of Neighborhood Organizations Records (Acc 658 et al.)
Southwest Germantown CDC,CDC,,,Temple archives,,,,none,0.0,,,0,,,,,"Named in the Regional Council of Neighborhood Organizations (RCNO) records, 1986.",Regional Council of Neighborhood Organizations Records (Acc 658 et al.)
East of Broad Community Development Corporation,CDC,,,Temple archives,,,,none,0.43,,,0,,,,,Named in the Kensington Action Now records at Temple's Special Collections Research Center.,Kensington Action Now Records (Acc 705)
South Philadelphia Community Development Corporation,CDC,,,Temple archives,991321510,Ipul South Philadelphia Inc,Philadelphia,high,0.88,,,0,,,,,"Named in the West Philadelphia Corporation records, active 1967-1969; likely long dissolved.",West Philadelphia Corporation Records (Acc 350 et al.)
Central Germantown Community Development Corporation,CDC,,,Temple archives,232888616,West Central Germantown Neighbors,Philadelphia,medium,0.71,,,0,,,,,Predecessor/counterpart to Greater Germantown Housing Development Corporation; own minutes and inter-org agreements survive through at least 1988.,Germantown Settlement Records (KER0314221)
First Baptist Church of Paschall Development Corporation,CDC,,,Temple archives,231365253,First Baptist Church,Philadelphia,high,0.82,,,0,,,,,"Faith-based CDC; filed a statement of need with Greater Germantown Housing Development Corporation, 1990.",Germantown Settlement Records (KER0314221)
Germantown Settlement,CDC,,,Temple archives,,,,none,0.0,,,0,,,,,"Founded 1934 from the merger of Morton Street Day Nursery (est. 1884) and Germantown Community Center (est. 1920). Grew into one of Philadelphia's largest CDCs before financial and governance troubles led to its collapse and dissolution in the 2000s. 455-page records collection at Temple, the largest in this find.",Germantown Settlement Records (KER0314221)
Weccacoe Development Association,CDC,,,Temple archives,222646975,Weccacoe Development Association,Philadelphia,high,1.0,2011,2015,2,2011->2015,,0,,Founded 1985 to build and rehab low- and moderate-income housing and clear vacant properties in the Weccacoe (Queen Village/Bella Vista) area.,Weccacoe Development Association Records (Acc 932)
Olde Kensington Redevelopment Corporation,CDC,,,Temple archives,834158522,Olde & South Kensington Green Space,Philadelphia,medium,0.65,2019,2023,5,,,5114,,"Chartered 1968 to develop low-cost housing in Kensington. Formed O.K. Improvement Inc. (1979) and Olde Kensington Senior Housing Associates (1982), which built Sylvia Barg Plaza (opened 1986) and dissolved after selling the building in 2014.",Olde Kensington Senior Housing Associates Records (JL0503221)
Kensington Area Revitalization Project,CDC,,,Temple archives,844037072,Fishtown Kensington Area Business Improvement District Inc,Philadelphia,medium,0.52,2020,2023,4,,2021; 2023,883529,,"Spun out of the Kensington Action Now coalition on 1980-05-09 to acquire, renovate, and sell abandoned properties.",Kensington Action Now Records (Acc 705)
Socca Community Development Corporation,CDC,,,Temple archives,,,,none,0.0,,,0,,,,,"PACDC correspondent (contact: Patricia Evans), 1994; no further detail found in the archives.",PACDC Records (SCRC 241)
West Philadelphia Economic Development Corporation,CDC,,,Temple archives,844201970,West Philadelphia Community Development Corporation,Philadelphia,high,0.79,,,0,,,,,"Named in PACDC's 1994 records; distinct from West Philadelphia Partnership/Partnership CDC, no further detail found.",PACDC Records (SCRC 241)
